=== 1st Order UC Totals ===
,UCSD Art,UCSB Art,UCSC Art,UCLA Art,UCB Art,UCI Art,UCD Art,UCR Art,UCM Art,UCSD Unart,UCSB Unart,UCSC Unart,UCLA Unart,UCB Unart,UCI Unart,UCD Unart,UCR Unart,UCM Unart
Foothill-De_Anza_Community_College_District,134,206,88,114,58,0,186,112,78,0,0,0,0,0,56,0,56,0
Copper_Mountain_Community_College_District,64,102,82,64,44,0,144,50,64,0,0,0,0,0,56,0,56,0
Grossmont-Cuyamaca_Community_College_District,152,142,84,100,44,0,194,54,56,0,0,0,0,0,56,0,56,0
Barstow_Community_College_District,94,112,42,24,62,0,24,76,82,0,0,0,0,0,56,0,56,0
Los_Rios_Community_College_District,112,94,74,74,44,0,146,60,56,0,0,0,0,0,56,0,56,0
Mt._San_Jacinto_Community_College_District,120,92,74,72,52,0,148,62,44,0,0,0,0,0,56,0,56,0
Rancho_Santiago_Community_College_District,70,230,50,96,40,168,142,62,60,0,0,0,0,0,56,0,56,0
Palomar_Community_College_District,112,114,74,148,44,84,136,50,56,0,0,0,0,0,56,0,56,0
West_Hills_Community_College_District,26,76,2,46,44,0,14,44,46,0,0,0,0,0,56,0,56,0
Gavilan_Community_College_District,74,114,124,74,44,0,244,76,64,0,0,0,0,0,56,0,56,0
Hartnell_Community_College_District,100,122,172,64,44,0,92,50,74,0,0,0,0,0,56,0,56,0
Solano_Community_College_District,74,92,92,74,44,0,134,60,64,0,0,0,0,0,56,0,56,0
Yuba_Community_College_District,74,120,102,72,52,0,188,62,62,0,0,0,0,0,56,0,56,0
