UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Santa Barbara,Irvine Valley College,PHYS 7L,PHYS 4A; PHYS 4B,,,
University of California Santa Barbara,Irvine Valley College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 1A; CHEM 1B,CHEM 1AH; CHEM 1B,,
University of California Santa Barbara,Irvine Valley College,MCDB 1A; MCDB 1LL,BIO 80; BIO 81,BIO 80H; BIO 81H,BIO 2; BIO 5; BIO 16; BIO 80,BIO 2; BIO 5; BIO 16; BIO 80H
University of California Santa Barbara,Irvine Valley College,MCDB 1B,BIO 80; BIO 81,BIO 2; BIO 5; BIO 16; BIO 80,BIO 2; BIO 5; BIO 16; BIO 80H,BIO 80H; BIO 81H
University of California Santa Barbara,Irvine Valley College,PSTAT 120A,Not Articulated,,,
University of California Santa Cruz,Irvine Valley College,CSE 12,CS 40A; CS 40B,,,
University of California Santa Cruz,Irvine Valley College,CSE 16,CS 6A; CS 6B,MATH 6A; MATH 6B,,
University of California Santa Cruz,Irvine Valley College,CSE 30,CS 41,,,
University of California Santa Cruz,Irvine Valley College,MATH 19A,MATH 3A,MATH 3AH,,
University of California Santa Cruz,Irvine Valley College,MATH 19B,MATH 3B,MATH 3BH,,
University of California Santa Cruz,Irvine Valley College,AM 10,MATH 26,,,
University of California Santa Cruz,Irvine Valley College,MATH 21,MATH 26,,,
University of California Santa Cruz,Irvine Valley College,AM 30,MATH 4A,,,
University of California Santa Cruz,Irvine Valley College,MATH 23A,MATH 4A,,,
