UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Merced,MiraCosta College,A,A,1,MATH 023 - Vector Calculus,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),,
University of California Merced,MiraCosta College,A,A,1,MATH 024 - Linear Algebra and Differential Equations,MATH 265 - Differential Equations & MATH 270 - Linear Algebra,,,
University of California Merced,MiraCosta College,A,A,1,PHYS 008 - Introductory Physics I for Physical Sciences & PHYS 008L - Introductory Physics I for Physical Sciences Lab,PHYS 151 - Principles of Physics I,PHYS 151H - Principles of Physics I (Honors),,
University of California Merced,MiraCosta College,A,A,1,PHYS 009 - Introductory Physics II for Physical Sciences & PHYS 009L - Introductory Physics II for Physical Sciences Lab,PHYS 152 - Principles of Physics II,PHYS 152H - Principles of Physics II (Honors),,
University of California Merced,MiraCosta College,A,A,1,CSE 015 - Discrete Mathematics,CS 226 - Discrete Structures,,,
University of California Merced,MiraCosta College,A,A,1,CSE 022 - Introduction to Programming,CS 138 - Programming with Python,CS 150 - C++ Programming,,
University of California Merced,MiraCosta College,A,A,1,CSE 024 - Advanced Programming,CS 151 - Advanced C++ Programming,,,
University of California Merced,MiraCosta College,A,A,1,CSE 030 - Data Structures,CS 113 - Basic Data Structures and Algorithms,,,
University of California Merced,MiraCosta College,A,A,1,CSE 031 - Computer Organization and Assembly Language,CS 220 - Computer Architecture and Assembly Language,,,
University of California Merced,MiraCosta College,A,A,1,ENGR 065 - Circuit Theory,Not Articulated,,,
University of California Merced,MiraCosta College,A,A,1,ENGR 091 - Professional Development: People in an Engineering World,Not Articulated,,,
University of California Merced,MiraCosta College,A,A,1,MATH 032 - Probability and Statistics,Not Articulated,,,
University of California Merced,MiraCosta College,A,A,1,ENGR 080 - Statistical Modeling and Data Analysis for Engineers,Not Articulated,,,
University of California Merced,MiraCosta College,A,A,1,WRI 001 - Academic Writing,ENGL 100 - Composition and Reading,ENGL 100H - Composition and Reading (Honors),,
University of California Merced,MiraCosta College,A,A,1,WRI 010 - College Reading and Composition,"ENGL 201 - Critical Thinking, Composition, and Literature","ENGL 201H - Critical Thinking, Composition, and Literature (Honors)",ENGL 202 - Critical Thinking and Composition,ENGL 202H - Critical and Thinking and Composition (Honors)
University of California Riverside,MiraCosta College,A,A,1,"CS 10A - Intro to Computer Science for Science, Mathematics, and Engineering I",CS 111 - Introduction to Computer Science I: Java,CS 138 - Programming with Python,CS 150 - C++ Programming,
University of California Riverside,MiraCosta College,A,A,1,"CS 10B - Intro to Computer Science for Science, Mathematics, and Engineering II",CS 112 - Introduction to Computer Science II: Java,CS 151 - Advanced C++ Programming,,
University of California Riverside,MiraCosta College,A,A,1,MATH 9A - First-Year Calculus & MATH 9B - First-Year Calculus & MATH 9C - First-Year Calculus,MATH 150 - Calculus and Analytic Geometry I & MATH 155 - Calculus and Analytic Geometry II,,,
University of California Riverside,MiraCosta College,A,A,1,PHYS 40A - General Physics,PHYS 151 - Principles of Physics I,,,
University of California Riverside,MiraCosta College,A,A,1,CS 11 - Intro to Discrete Structures,MATH 226 - Discrete Mathematics,CS 226 - Discrete Structures,,
University of California Riverside,MiraCosta College,A,A,1,CS 10C - Intro to Data Structures and Algorithms,CS 113 - Basic Data Structures and Algorithms,,,
University of California Riverside,MiraCosta College,A,A,1,CS 61 - Machine Organization and Assembly Language Programming,CS 220 - Computer Architecture and Assembly Language,,,
University of California Riverside,MiraCosta College,A,A,1,MATH 10A - Calculus of Several Variables,MATH 260 - Calculus and Analytic Geometry III,,,
University of California Riverside,MiraCosta College,A,A,1,PHYS 40B - General Physics,PHYS 151 - Principles of Physics I & PHYS 152 - Principles of Physics II & PHYS 253 - Principles of Physics III,,,
University of California Riverside,MiraCosta College,A,A,1,PHYS 40C - General Physics,PHYS 152 - Principles of Physics II,,,
University of California Riverside,MiraCosta College,A,A,1,EE 20B - Linear Methods for Engineering Analysis and Design Using MATLAB,Not Articulated,,,
University of California Riverside,MiraCosta College,A,A,1,MATH 31 - Applied Linear Algebra,MATH 270 - Linear Algebra,,,
University of California San Diego,MiraCosta College,A,A,1,CSE 8A - Introduction to Programming and Computational Problem Solving I,CS 111 - Introduction to Computer Science I: Java,,,
University of California San Diego,MiraCosta College,A,A,1,CSE 8B - Introduction to Programming and Computational Problem Solving II,CS 112 - Introduction to Computer Science II: Java,,,
University of California San Diego,MiraCosta College,A,A,1,CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace,Not Articulated,,,
University of California San Diego,MiraCosta College,A,A,1,CSE 12 - Basic Data Structures and Object-Oriented Design,CS 113 - Basic Data Structures and Algorithms,,,
University of California San Diego,MiraCosta College,A,A,1,CSE 15L - Software Tools and Techniques Laboratory,Not Articulated,,,
University of California San Diego,MiraCosta College,A,A,1,CSE 20 - Discrete Mathematics,MATH 226 - Discrete Mathematics,CS 226 - Discrete Structures,,
University of California San Diego,MiraCosta College,A,A,1,CSE 21 - Mathematics for Algorithms and Systems,Not Articulated,,,
